name,close_1,close_2,close_3,close_4,close_5,close_6,close_7,close_8,close_9,area
Paraiso-Lote_4,Paraiso-Lote_3,Paraiso-Lote_13,Paraiso-Lote_5,Paraiso-Lote_14,Paraiso-Lote_12,Paraiso-Lote_2,Paraiso-Lote_15,Juncalito-Lote_1,Paraiso-Lote_6,15606.000957579392
Paraiso-Lote_5,Paraiso-Lote_4,Paraiso-Lote_6,Paraiso-Lote_12,Paraiso-Lote_13,Paraiso-Lote_11,Paraiso-Lote_3,Paraiso-Lote_7,Paraiso-Lote_14,Juncalito-Lote_2,23253.867398504477
Paraiso-Lote_6,Paraiso-Lote_7,Paraiso-Lote_5,Paraiso-Lote_11,Paraiso-Lote_10,Paraiso-Lote_12,Paraiso-Lote_8,Paraiso-Lote_4,Juncalito-Lote_3,Paraiso-Lote_13,22785.323358166028
Paraiso-Lote_7,Paraiso-Lote_6,Paraiso-Lote_8,Paraiso-Lote_10,Paraiso-Lote_11,Paraiso-Lote_9,Paraiso-Lote_5,Juncalito-Lote_4,Paraiso-Lote_12,Juncalito-Lote_5,23877.176368672415
Paraiso-Lote_8,Paraiso-Lote_7,Paraiso-Lote_9,Paraiso-Lote_10,Paraiso-Lote_6,Paraiso-Lote_11,Juncalito-Lote_6,Juncalito-Lote_5,Juncalito-Lote_7,Juncalito-Lote_4,25348.382159664525
Paraiso-Lote_9,Paraiso-Lote_10,Juncalito-Lote_6,Juncalito-Lote_5,Paraiso-Lote_8,Juncalito-Lote_7,Juncalito-Lote_4,Paraiso-Lote_7,Paraiso-Lote_11,Juncalito-Lote_8,25871.466688047738
Paraiso-Lote_10,Paraiso-Lote_11,Paraiso-Lote_9,Juncalito-Lote_4,Juncalito-Lote_5,Paraiso-Lote_7,Juncalito-Lote_3,Paraiso-Lote_6,Juncalito-Lote_6,Paraiso-Lote_8,24343.710114480447
Paraiso-Lote_11,Paraiso-Lote_10,Paraiso-Lote_12,Juncalito-Lote_3,Paraiso-Lote_6,Juncalito-Lote_2,Juncalito-Lote_4,Paraiso-Lote_5,Paraiso-Lote_7,Juncalito-Lote_5,22725.181313733257
Paraiso-Lote_12,Paraiso-Lote_13,Paraiso-Lote_11,Juncalito-Lote_2,Paraiso-Lote_5,Juncalito-Lote_1,Paraiso-Lote_4,Juncalito-Lote_3,Paraiso-Lote_6,Paraiso-Lote_14,21156.198899477007
Paraiso-Lote_13,Paraiso-Lote_14,Paraiso-Lote_12,Paraiso-Lote_4,Juncalito-Lote_1,Paraiso-Lote_3,Paraiso-Lote_5,Juncalito-Lote_2,Paraiso-Lote_15,Paraiso-Lote_2,15883.37409365883
Paraiso-Lote_14,Paraiso-Lote_15,Paraiso-Lote_13,Paraiso-Lote_3,Paraiso-Lote_2,Paraiso-Lote_4,Juncalito-Lote_1,Paraiso-Lote_16,Paraiso-Lote_12,Paraiso-Lote_1,15223.924267149647
Paraiso-Lote_15,Paraiso-Lote_2,Paraiso-Lote_14,Paraiso-Lote_16,Paraiso-Lote_1,Paraiso-Lote_3,Paraiso-Lote_13,Paraiso-Lote_4,Juncalito-Lote_1,Paraiso-Lote_12,13660.1637284033
Paraiso-Lote_16,Paraiso-Lote_1,Paraiso-Lote_15,Paraiso-Lote_2,Paraiso-Lote_14,Paraiso-Lote_3,Paraiso-Lote_13,Paraiso-Lote_4,Juncalito-Lote_1,Juncalito-Lote_21,12897.654904202935
La_Isla-Lote_8,La_Isla-Lote_7,La_Isla-Lote_9,La_Isla-Lote_1,La_Isla-Lote_10,La_Isla-Lote_6,La_Isla-Lote_2,La_Isla-Lote_11,La_Isla-Lote_3,La_Isla-Lote_5,18006.325551957547
La_Isla-Lote_7,La_Isla-Lote_6,La_Isla-Lote_8,La_Isla-Lote_1,La_Isla-Lote_2,La_Isla-Lote_9,La_Isla-Lote_5,La_Isla-Lote_3,La_Isla-Lote_10,La_Isla-Lote_4,15859.366522687758
La_Isla-Lote_6,La_Isla-Lote_7,La_Isla-Lote_5,La_Isla-Lote_3,La_Isla-Lote_2,La_Isla-Lote_1,La_Isla-Lote_8,La_Isla-Lote_4,La_Isla-Lote_9,La_Isla-Lote_10,14808.485480251347
La_Isla-Lote_5,La_Isla-Lote_6,La_Isla-Lote_3,La_Isla-Lote_4,La_Isla-Lote_2,La_Isla-Lote_7,La_Isla-Lote_1,La_Isla-Lote_8,La_Isla-Lote_9,La_Isla-Lote_10,14667.535855553198
La_Isla-Lote_3,La_Isla-Lote_4,La_Isla-Lote_5,La_Isla-Lote_2,La_Isla-Lote_6,La_Isla-Lote_1,La_Isla-Lote_7,La_Isla-Lote_9,La_Isla-Lote_10,La_Isla-Lote_8,5400.169948535904
La_Isla-Lote_4,La_Isla-Lote_3,La_Isla-Lote_2,La_Isla-Lote_5,La_Isla-Lote_6,La_Isla-Lote_1,La_Isla-Lote_ML_1,La_Isla-Lote_7,La_Isla-Lote_10,La_Isla-Lote_9,4185.454653129369
La_Isla-Lote_2,La_Isla-Lote_1,La_Isla-Lote_3,La_Isla-Lote_6,La_Isla-Lote_7,La_Isla-Lote_9,La_Isla-Lote_4,La_Isla-Lote_10,La_Isla-Lote_5,La_Isla-Lote_8,4846.724620887079
La_Isla-Lote_1,La_Isla-Lote_2,La_Isla-Lote_9,La_Isla-Lote_10,La_Isla-Lote_7,La_Isla-Lote_11,La_Isla-Lote_8,La_Isla-Lote_6,La_Isla-Lote_3,La_Isla-Lote_4,5658.298987437494
La_Isla-Lote_9,La_Isla-Lote_10,La_Isla-Lote_1,La_Isla-Lote_11,La_Isla-Lote_8,La_Isla-Lote_2,La_Isla-Lote_7,La_Isla-Lote_12,La_Isla-Lote_6,La_Isla-Lote_3,5376.827746955232
La_Isla-Lote_10,La_Isla-Lote_9,La_Isla-Lote_11,La_Isla-Lote_1,La_Isla-Lote_2,La_Isla-Lote_12,La_Isla-Lote_8,La_Isla-Lote_7,La_Isla-Lote_6,La_Isla-Lote_3,5694.972819411349
La_Isla-Lote_11,La_Isla-Lote_10,La_Isla-Lote_12,La_Isla-Lote_9,La_Isla-Lote_1,La_Isla-Lote_2,La_Isla-Lote_13,La_Isla-Lote_8,La_Isla-Lote_14,La_Isla-Lote_7,8103.821085217008
La_Isla-Lote_12,La_Isla-Lote_11,La_Isla-Lote_13,La_Isla-Lote_10,La_Isla-Lote_14,La_Isla-Lote_15,La_Isla-Lote_9,La_Isla-Lote_1,La_Isla-Lote_16,La_Isla-Lote_2,6459.339201346519
La_Isla-Lote_13,La_Isla-Lote_14,La_Isla-Lote_15,La_Isla-Lote_24,La_Isla-Lote_23,La_Isla-Lote_12,La_Isla-Lote_22,La_Isla-Lote_16,La_Isla-Lote_21,La_Isla-Lote_17,6478.515226846045
La_Isla-Lote_24,La_Isla-Lote_23,La_Isla-Lote_22,La_Isla-Lote_25,La_Isla-Lote_14,La_Isla-Lote_13,La_Isla-Lote_26,La_Isla-Lote_15,La_Isla-Lote_21,La_Isla-Lote_27,5474.658209324948
La_Isla-Lote_14,La_Isla-Lote_13,La_Isla-Lote_15,La_Isla-Lote_23,La_Isla-Lote_16,La_Isla-Lote_24,La_Isla-Lote_22,La_Isla-Lote_21,La_Isla-Lote_12,La_Isla-Lote_17,6037.903473869808
La_Isla-Lote_23,La_Isla-Lote_24,La_Isla-Lote_22,La_Isla-Lote_21,La_Isla-Lote_14,La_Isla-Lote_15,La_Isla-Lote_26,La_Isla-Lote_25,La_Isla-Lote_13,La_Isla-Lote_27,6212.703726053267
La_Isla-Lote_15,La_Isla-Lote_14,La_Isla-Lote_16,La_Isla-Lote_22,La_Isla-Lote_13,La_Isla-Lote_23,La_Isla-Lote_21,La_Isla-Lote_17,La_Isla-Lote_24,La_Isla-Lote_20,5359.788451194309
La_Isla-Lote_22,La_Isla-Lote_23,La_Isla-Lote_21,La_Isla-Lote_24,La_Isla-Lote_15,La_Isla-Lote_20,La_Isla-Lote_27,La_Isla-Lote_16,La_Isla-Lote_26,La_Isla-Lote_14,6235.56750676392
La_Isla-Lote_16,La_Isla-Lote_15,La_Isla-Lote_17,La_Isla-Lote_14,La_Isla-Lote_21,La_Isla-Lote_22,La_Isla-Lote_20,La_Isla-Lote_18,La_Isla-Lote_23,La_Isla-Lote_13,6522.967805929184
La_Isla-Lote_21,La_Isla-Lote_22,La_Isla-Lote_20,La_Isla-Lote_23,La_Isla-Lote_16,La_Isla-Lote_19,La_Isla-Lote_15,La_Isla-Lote_27,La_Isla-Lote_17,La_Isla-Lote_28,6682.00987173477
La_Isla-Lote_20,La_Isla-Lote_19,La_Isla-Lote_21,La_Isla-Lote_22,La_Isla-Lote_28,La_Isla-Lote_17,La_Isla-Lote_16,La_Isla-Lote_ML_3,La_Isla-Lote_27,La_Isla-Lote_18,7459.3314255741025
La_Isla-Lote_17,La_Isla-Lote_18,La_Isla-Lote_16,La_Isla-Lote_20,La_Isla-Lote_15,La_Isla-Lote_21,La_Isla-Lote_ML_2,La_Isla-Lote_19,La_Isla-Lote_22,La_Isla-Lote_14,8088.504803751301
La_Isla-Lote_19,La_Isla-Lote_20,La_Isla-Lote_ML_3,La_Isla-Lote_21,La_Isla-Lote_28,La_Isla-Lote_ML_4,La_Isla-Lote_17,La_Isla-Lote_ML_2,La_Isla-Lote_18,La_Isla-Lote_16,7349.315068988114
La_Isla-Lote_18,La_Isla-Lote_17,La_Isla-Lote_ML_2,La_Isla-Lote_ML_1,La_Isla-Lote_16,La_Isla-Lote_19,La_Isla-Lote_20,La_Isla-Lote_ML_3,La_Isla-Lote_15,La_Isla-Lote_21,9710.152728430836
La_Isla-Lote_ML_1,Juncalito-Lote_21,La_Isla-Lote_ML_2,La_Isla-Lote_18,Juncalito-Lote_20,La_Isla-Lote_17,La_Isla-Lote_4,La_Isla-Lote_16,La_Isla-Lote_ML_3,La_Isla-Lote_19,10420.524051255363
La_Isla-Lote_ML_2,La_Isla-Lote_18,Juncalito-Lote_20,La_Isla-Lote_ML_1,La_Isla-Lote_ML_3,La_Isla-Lote_17,La_Isla-Lote_19,Juncalito-Lote_21,Juncalito-Lote_19,La_Isla-Lote_20,11452.422493656693
La_Isla-Lote_ML_3,La_Isla-Lote_19,La_Isla-Lote_ML_4,Juncalito-Lote_19,La_Isla-Lote_ML_2,La_Isla-Lote_20,Juncalito-Lote_18,La_Isla-Lote_18,Juncalito-Lote_20,La_Isla-Lote_28,11727.52503375131
La_Isla-Lote_ML_4,La_Isla-Lote_ML_5,La_Isla-Lote_ML_3,Juncalito-Lote_18,La_Isla-Lote_28,La_Isla-Lote_19,Juncalito-Lote_17,Juncalito-Lote_19,La_Isla-Lote_ML_6,La_Isla-Lote_29,6258.791283426615
La_Isla-Lote_ML_5,La_Isla-Lote_ML_4,La_Isla-Lote_ML_6,Juncalito-Lote_17,La_Isla-Lote_29,Juncalito-Lote_18,La_Isla-Lote_28,Juncalito-Lote_16,La_Isla-Lote_ML_7,La_Isla-Lote_ML_3,6518.918392002002
La_Isla-Lote_ML_6,La_Isla-Lote_ML_7,La_Isla-Lote_ML_5,Juncalito-Lote_16,La_Isla-Lote_29,Juncalito-Lote_17,La_Isla-Lote_36,Juncalito-Lote_15,La_Isla-Lote_ML_4,La_Isla-Lote_35,7062.851368134891
La_Isla-Lote_ML_7,La_Isla-Lote_ML_6,La_Isla-Lote_36,Juncalito-Lote_15,Juncalito-Lote_16,La_Isla-Lote_35,La_Isla-Lote_ML_8,La_Isla-Lote_ML_5,La_Isla-Lote_29,Juncalito-Lote_14,6619.487983431687
La_Isla-Lote_ML_8,Juncalito-Lote_14,Juncalito-Lote_13,La_Isla-Lote_36,La_Isla-Lote_ML_7,Juncalito-Lote_15,La_Isla-Lote_35,Juncalito-Lote_8,La_Isla-Lote_ML_6,Juncalito-Lote_16,20220.34779042679
La_Isla-Lote_36,La_Isla-Lote_35,La_Isla-Lote_ML_7,La_Isla-Lote_34,La_Isla-Lote_ML_8,La_Isla-Lote_ML_6,La_Isla-Lote_29,Juncalito-Lote_15,Juncalito-Lote_14,La_Isla-Lote_33,14781.909021932854
La_Isla-Lote_35,La_Isla-Lote_34,La_Isla-Lote_36,La_Isla-Lote_ML_7,La_Isla-Lote_33,La_Isla-Lote_29,La_Isla-Lote_30,La_Isla-Lote_ML_6,La_Isla-Lote_ML_8,La_Isla-Lote_32,11836.595440212393
La_Isla-Lote_34,La_Isla-Lote_35,La_Isla-Lote_33,La_Isla-Lote_36,La_Isla-Lote_30,La_Isla-Lote_29,La_Isla-Lote_32,La_Isla-Lote_ML_7,La_Isla-Lote_31,La_Isla-Lote_ML_6,7998.905694869201
La_Isla-Lote_33,La_Isla-Lote_34,La_Isla-Lote_32,La_Isla-Lote_30,La_Isla-Lote_31,La_Isla-Lote_35,La_Isla-Lote_29,La_Isla-Lote_26,La_Isla-Lote_27,La_Isla-Lote_36,8517.455274285216
La_Isla-Lote_28,La_Isla-Lote_29,La_Isla-Lote_27,La_Isla-Lote_20,La_Isla-Lote_19,La_Isla-Lote_ML_4,La_Isla-Lote_ML_5,La_Isla-Lote_21,La_Isla-Lote_30,La_Isla-Lote_ML_3,16420.766341834176
La_Isla-Lote_29,La_Isla-Lote_28,La_Isla-Lote_30,La_Isla-Lote_ML_5,La_Isla-Lote_ML_6,La_Isla-Lote_35,La_Isla-Lote_34,La_Isla-Lote_ML_4,La_Isla-Lote_27,La_Isla-Lote_ML_7,14465.364752754684
La_Isla-Lote_27,La_Isla-Lote_26,La_Isla-Lote_30,La_Isla-Lote_28,La_Isla-Lote_31,La_Isla-Lote_25,La_Isla-Lote_22,La_Isla-Lote_21,La_Isla-Lote_23,La_Isla-Lote_32,6947.157043028565
La_Isla-Lote_30,La_Isla-Lote_32,La_Isla-Lote_31,La_Isla-Lote_29,La_Isla-Lote_33,La_Isla-Lote_27,La_Isla-Lote_34,La_Isla-Lote_26,La_Isla-Lote_28,La_Isla-Lote_35,9051.19818251845
La_Isla-Lote_26,La_Isla-Lote_27,La_Isla-Lote_25,La_Isla-Lote_31,La_Isla-Lote_23,La_Isla-Lote_22,La_Isla-Lote_30,La_Isla-Lote_32,La_Isla-Lote_24,La_Isla-Lote_21,5423.878217310655
La_Isla-Lote_25,La_Isla-Lote_26,La_Isla-Lote_31,La_Isla-Lote_24,La_Isla-Lote_27,La_Isla-Lote_23,La_Isla-Lote_32,La_Isla-Lote_22,La_Isla-Lote_30,La_Isla-Lote_21,7811.541944505792
La_Isla-Lote_31,La_Isla-Lote_32,La_Isla-Lote_26,La_Isla-Lote_25,La_Isla-Lote_30,La_Isla-Lote_27,La_Isla-Lote_33,La_Isla-Lote_23,La_Isla-Lote_24,La_Isla-Lote_34,5484.109107686407
La_Isla-Lote_32,La_Isla-Lote_31,La_Isla-Lote_33,La_Isla-Lote_30,La_Isla-Lote_26,La_Isla-Lote_25,La_Isla-Lote_27,La_Isla-Lote_34,La_Isla-Lote_29,La_Isla-Lote_35,7820.805104596514
